,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1979.0,34.0,21.0,0.0,84.0
1,1960.0,25.0,40.0,1.0,109.0
2,1945.0,14.0,55.0,2.0,123.0
3,1944.0,12.0,56.0,3.0,135.0
4,1939.0,6.0,61.0,4.0,141.0
5,1935.0,3.0,65.0,5.0,144.0
6,1932.0,4.0,68.0,6.0,148.0
7,1931.0,2.0,69.0,7.0,150.0
8,1929.0,0.0,71.0,8.0,150.0
9,1929.0,0.0,71.0,9.0,150.0
10,1929.0,0.0,71.0,10.0,150.0
11,1929.0,0.0,71.0,11.0,150.0
12,1929.0,0.0,71.0,12.0,150.0
13,1929.0,0.0,71.0,13.0,150.0
14,1929.0,0.0,71.0,14.0,150.0
15,1929.0,0.0,71.0,15.0,150.0
16,1929.0,0.0,71.0,16.0,150.0
17,1929.0,0.0,71.0,17.0,150.0
18,1929.0,0.0,71.0,18.0,150.0
19,1929.0,0.0,71.0,19.0,150.0
20,1929.0,0.0,71.0,20.0,150.0
